job_name,job_company,job_region,job_exp,job_edu,job_salary,job_company_type,job_company_pernum
,天津中科蓝鲸信息技术有限公司,天津,经验不限,本科,5K-10K,股份制企业,20-99人
 数据分析/人工智能讲师,北京网络职业学院,北京-房山区,5-10年,大专,18K-25K,民营,100-499人
初级,深圳市云拓信息科技有限公司,深圳,经验不限,大专,6K-8K,民营,100-499人
开发工程师(001547),北京奇安信科技有限公司,上海,3-5年,本科,15K-20K,其它,1000-9999人
高级,京东数字科技控股有限公司  ,杭州-拱墅区,5-10年,本科,20K-40K,外商独资,1000-9999人
数字资产技术支持(SVN\,深圳市德科信息技术有限公司广州分公司,广州,1-3年,本科,8K-10K,股份制企业,1000-9999人
研发工程师(实习生) (2000-3000）,北京欣如信科技有限公司,成都,经验不限,大专,2K-4K,股份制企业,500-999人
开发,天津市深大立讯电子科技有限公司,天津,1-3年,学历不限,5K-8K,民营,100-499人
高级,百融云创科技股份有限公司,北京,3-5年,本科,10K-20K,股份制企业,500-999人
开发助理/包住/高绩效,深圳市创联测试技术有限公司,深圳,经验不限,大专,3.5K-7K,民营,100-499人
开发工程师,瞬联讯通科技(北京)有限公司,上海,3-5年,本科,10K-18K,外商独资,1000-9999人
 运维,武汉佰钧成技术有限责任公司,杭州-西湖区,3-5年,大专,15K-20K,民营,1000-9999人
开发工程师（广州）,深圳市芒柠科技有限公司,广州-萝岗区,1-3年,大专,10K-20K,民营,20-99人
开发助理（可实习可带）+3600起薪 ,北京欣如信科技有限公司,成都,经验不限,大专,6K-8K,股份制企业,500-999人
开发工程师,太原龙为电子科技有限公司,天津-东丽区,1-3年,大专,6K-10K,民营,100-499人
高级零售系统工程师 ,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",北京,5-10年,本科,薪资面议,外商独资,10000人以上
开发,中软国际科技服务有限公司深圳分公司,深圳,1-3年,本科,薪资面议,上市公司,10000人以上
工程师,中软国际科技服务有限公司深圳分公司,上海-浦东新区,3-5年,本科,薪资面议,上市公司,10000人以上
开发/公司直招/基础弱有人带,杭州营拓网络科技有限公司,杭州,经验不限,大专,4K-6K,民营,500-999人
java/c++/,深圳市德科信息技术有限公司广州分公司,广州,1-3年,本科,8K-15K,股份制企业,1000-9999人
开发助理（可实习可以带）+3600起薪 ,北京欣如信科技有限公司,成都,经验不限,大专,4K-6K,股份制企业,500-999人
开发,北京中科蓝鲸信息技术有限公司,天津,经验不限,本科,5K-8K,合资,100-499人
工程师（物联网方向）,中包物联网科技(天津)有限公司,北京,1-3年,本科,6K-10K,民营,20-99人
工程师,深圳市客路网络科技有限公司,深圳,1-3年,本科,10K-20K,外商独资,1000-9999人
IT培训讲师,中公教育上海分公司,上海,经验不限,本科,6K-12K,民营,100-499人
开发+人工智能开发,江苏宝瑞网络技术有限公司,杭州,无经验,大专,4K-6K,民营,20-99人
工程师,深圳市德科信息技术有限公司广州分公司,广州,经验不限,本科,8K-15K,股份制企业,1000-9999人
开发工程师助理/python实习生,北京欣如信科技有限公司,成都-武侯区,经验不限,中专,4K-6K,股份制企业,500-999人
工程师,唐山优泰网络科技有限公司,天津,经验不限,大专,8K-10K,合资,100-499人
开发工程师,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",北京,5-10年,本科,薪资面议,外商独资,10000人以上
诚招：初级Java/,深圳市创联测试技术有限公司,深圳,经验不限,大专,3.5K-7K,民营,100-499人
自动化测试,瞬联讯通科技(北京)有限公司,上海,1-3年,本科,11K-15K,外商独资,1000-9999人
开发/直招,杭州营拓网络科技有限公司,杭州,经验不限,大专,4K-6K,民营,500-999人
开发,深圳市德科信息技术有限公司广州分公司,广州,1年以下,本科,8K-15K,股份制企业,1000-9999人
爬虫开发工程师助理实习生,北京欣如信科技有限公司,成都,经验不限,大专,4K-6K,股份制企业,500-999人
平台开发工程师,富士康科技集团,天津-滨海新区,3-5年,大专,6K-8K,外商独资,10000人以上
java/,北京托普云数据技术有限公司,北京-昌平区,经验不限,大专,6K-8K,股份制企业,100-499人
开发助理/包住/高福利,深圳市创联测试技术有限公司,深圳,经验不限,大专,3.5K-7K,民营,100-499人
资深,苏州科技城,上海-杨浦区,5-10年,本科,薪资面议,其它,100-499人
开发实习生/Python程序员,杭州钠金科技有限公司,杭州-拱墅区,经验不限,大专,3K-6K,民营,100-499人
（数据分析方向）,广东省电信规划设计院有限公司,广州,1-3年,本科,6K-8K,国企,1000-9999人
软件工程师实习生,北京欣如信科技有限公司,成都,经验不限,大专,4K-6K,股份制企业,500-999人
讲师,天津市滨海新区中软卓越职业培训学校,天津-滨海新区,1-3年,本科,10K-15K,民营,100-499人
助理讲师,北京达内金桥科技有限公司1,北京-海淀区,经验不限,本科,8K-10K,上市公司,1000-9999人
开发工程师,北京神州新桥科技有限公司,深圳-南山区,3-5年,本科,12K-20K,民营,500-999人
高级,中软国际科技服务有限公司深圳分公司,上海-浦东新区,5-10年,本科,薪资面议,上市公司,10000人以上
开发实习生/住宿双休,杭州凌聚网络科技有限公司,杭州,经验不限,大专,6K-8K,民营,100-499人
开发工程师,广州外宝电子商务有限公司,广州-荔湾区,1-3年,大专,8K-10K,民营,100-499人
工程师助理/python开发工程师实习生,北京欣如信科技有限公司,成都-武侯区,经验不限,大专,4K-6K,股份制企业,500-999人
研发工程师,北京国联易安信息技术有限公司,天津,3-5年,本科,8K-16K,民营,100-499人
工程师,德融国际融资租赁有限公司北京分公司,北京,3-5年,本科,15K-20K,民营,1000-9999人
腾讯游戏开发（光子工作室）熟悉lua ,中软国际科技服务有限公司深圳分公司,深圳,1-3年,大专,薪资面议,上市公司,10000人以上
 web 开发工程师,东软云科技有限公司,上海,3-5年,本科,10K-15K,合资,1000-9999人
初级工程师,杭州钠金科技有限公司,杭州,无经验,大专,3K-6K,民营,100-499人
 开发工程师,广州时时美电子商务有限公司,广州-荔湾区,经验不限,学历不限,10K-15K,民营,100-499人
软件工程师,北京欣如信科技有限公司,成都,经验不限,大专,6K-8K,股份制企业,500-999人
讲师,河南蓝狐文化传播有限公司,天津,1-3年,本科,8K-10K,民营,100-499人
 / Django 开发工程师,北京创思意特科技有限公司,北京,1-3年,学历不限,5K-8K,民营,20人以下
数据开发,软通动力信息技术(集团)有限公司,深圳-南山区,1-3年,本科,8K-10K,股份制企业,10000人以上
开发,深圳市博奥特科技有限公司,上海,3-5年,本科,10K-18K,民营,100-499人
（年底双薪）,杭州世柔科技有限公司,杭州-西湖区,经验不限,大专,4K-6K,民营,100-499人
开发工程师,广州美亚电子商务国际旅行社有限公司,广州-海珠区,1-3年,大专,6K-12K,民营,1000-9999人
工资过万不是梦,北京欣如信科技有限公司,成都,经验不限,大专,6K-8K,股份制企业,500-999人
黑盒自动化测试,万星教育科技(天津)有限公司,天津,1-3年,大专,6K-10K,民营,20-99人
工程师,北京嘉连勤科技有限公司,北京,1-3年,学历不限,8K-16K,民营,20-99人
开发+项目奖金,深圳市克乐科技有限公司,深圳,经验不限,大专,6K-8K,股份制企业,100-499人
开发工程师（外派）,大连斯锐信息技术有限公司,上海,3-5年,大专,15K-20K,股份制企业,1000-9999人
人工智能实习,杭州凌聚网络科技有限公司,杭州-下沙,无经验,大专,4K-6K,民营,100-499人
开发工程师,广州外宝电子商务有限公司,广州,1-3年,大专,7K-10K,民营,100-499人
研发工程师 助理实习生(4000-6000),北京欣如信科技有限公司,成都,经验不限,中专,4K-6K,股份制企业,500-999人
高级开发工程师,天津鑫裕建设发展股份有限公司,天津,5-10年,本科,10K-15K,民营,100-499人
高级工程师（外派到知名AI公司）,北京顺为互联科技有限公司,北京,5-10年,本科,15K-25K,民营,20人以下
开发工程师/助理岗/开发方向-爬虫,深圳市创联测试技术有限公司,深圳,经验不限,学历不限,4.5K-9K,民营,100-499人
开发（外包岗）,软通动力信息技术(集团)有限公司,上海-青浦区,3-5年,本科,5K-8K,上市公司,10000人以上
算法工程师/可无经验,杭州奇时软件技术有限公司,杭州,无经验,大专,6K-8K,民营,100-499人
后台开发（面向19届、20届）(000565)(000566),海南元游信息技术有限公司广州分公司,广州-天河区,经验不限,本科,7K-12K,民营,100-499人
爬虫开发工程师（初级）,北京欣如信科技有限公司,成都,经验不限,大专,4K-6K,股份制企业,500-999人
开发工程师/C语言,济宁市信丰电子科技有限公司,天津,经验不限,大专,4K-6K,股份制企业,20-99人
人工智能+ ,北京博雅环球教育科技有限公司内蒙古分公司,北京,经验不限,本科,10K-15K,民营,100-499人
