风险分析及策略,上海夺汇网络技术有限公司,上海-杨浦区,3-4年经验,本科,1.5-3万/月
运维开发工程师,湖北亿咖通科技有限公司,上海-徐汇区,2年经验,本科,2-3万/月
网管软件开发工程师,深圳互由科技有限公司,深圳,3-4年经验,大专,1.2-1.5万/月
Java开发工程师,杭州博彦信息技术有限公司,成都-武侯区,无工作经验,大专,1.2-1.7万/月
System Engineer - Microsoft Technology,北京国际度假区有限公司,北京-通州区,10年以上经验,本科,2.5-3万/月
SOC Design Intern,上海燧原科技有限公司,北京-海淀区,无工作经验,本科,3-4.5千/月
系统运维工程师,绵阳市商业银行股份有限公司,绵阳,1年经验,本科,8-12万/年
Verification Engineer,挪拉通科技（苏州）有限公司,苏州,3-4年经验,本科,1-1.5万/月
Node.js开发工程师,广州茶途网络科技有限公司,广州-天河区,2年经验,大专,0.8-1.2万/月
后端开发工程师,上海汇珏网络通信设备有限公司,上海-奉贤区,3-4年经验,本科,0.8-1.5万/月
运维工程师,广州悦娱信息科技有限公司,广州-天河区,1年经验,大专,0.6-1万/月
绑定,吉林省凝羽动画有限公司,长春-朝阳区,无工作经验,大专,4-8千/月
系统运维工程师,广西哈曼科技有限公司,南宁,无工作经验,大专,3-6千/月
驻场前端开发工程师 12K-18K,上海佩琪信息技术有限公司,上海,无工作经验,本科,1.2-1.8万/月
数据分析师,启德教育集团留学广州分公司,广州-越秀区,无工作经验,招若干人,0.8-1万/月
Java开发工程师,上海凡族信息科技有限公司,上海-闵行区,2年经验,招若干人,2.2-2.7万/月
c/c++开发工程师,天下支付科技有限公司,深圳-福田区,3-4年经验,本科,1.3-2万/月
网络人员,上海润和信息技术服务有限公司,南京-建邺区,3-4年经验,招5人,0.8-1.2万/月
算法工程师,杭州德适生物科技有限公司,杭州,3-4年经验,本科,1.5-2万/月
PHP开发工程师  1,深圳市合纵伟业科技有限公司,深圳-龙岗区,2年经验,大专,0.7-1.2万/月
游戏服务端开发工程师,Triniti Interactive,上海-浦东新区,2年经验,本科,1.5-2.5万/月
Java研发工程师,浙江大学滨海产业技术研究院,天津-滨海新区,2年经验,本科,0.8-1.5万/月
Software Intern/软件实习生,耐世特汽车系统（苏州）有限公司,苏州,无工作经验,本科,2-3千/月
技术储备主管,浙江阳光照明电器集团股份有限公司,绍兴,无工作经验,本科,10-15万/年
大数据挖掘工程师,东莞市金源药业有限公司,东莞-寮步镇,3-4年经验,大专,0.6-2万/月
项目主管,三门峡崤云视联科技有限公司,三门峡,无工作经验,招2人,0.5-1万/月
camera测试工程师,北京湛腾世纪科技有限公司,南京-建邺区,无工作经验,大专,6-8千/月
OCR算法工程师,上海商霖华通投资咨询有限公司,武汉,2年经验,本科,1.2-2.2万/月
测试经理,南京乐居网络科技有限公司,南京-江宁区,5-7年经验,大专,1-1.5万/月
图像算法工程师,温州欣承信息技术有限公司,温州,无工作经验,招1人,1-2万/月
数据挖掘工程师,广州欧昊装饰工程有限公司,佛山-顺德区,3-4年经验,本科,1-2万/月
游戏C++后台开发工程师,花色互娱（深圳）网络科技有限公司,深圳-南山区,2年经验,大专,1.2-2.2万/月
软件测试工程师,福州金苹果网络信息技术有限公司,福州,无工作经验,招若干人,4-7千/月
计算机视觉工程师,上海太昂科技有限公司,上海-浦东新区,2年经验,硕士,24-30万/年
BIM开发工程师,碧桂园机器人公司,佛山-顺德区,无工作经验,本科,1.5-3万/月
三维特效师,广州悦享环球文化科技有限公司,广州-黄埔区,无工作经验,招2人,0.7-1.2万/月
高级电气工程师（硕士/博士）,广州广日电梯工业有限公司,广州,无工作经验,硕士,0.7-1.1万/月
高级数据分析师(职位编号：FANTAWILD001530),华强方特文化科技集团股份有限公司,深圳-南山区,5-7年经验,本科,1.8-3.6万/月
IT产品经理,广州方圆现代生活服务股份有限公司,广州-天河区,5-7年经验,本科,1.5-2万/月
高级测试工程师,(ZAKER)广州坚和网络科技有限公司,广州-天河区,3-4年经验,大专,1-1.5万/月
PHP开发工程师,上海圣识网络科技有限公司,广州,1年经验,大专,0.8-1万/月
系统开发工程师,福建星网锐捷通讯股份有限公司,福州,无工作经验,本科,0.8-1.6万/月
算法规划分析,广州旭升源科技有限公司,济南,2年经验,大专,1-1.5万/月
软件测试工程师,上海厦泰生物科技有限公司,上海-浦东新区,1年经验,本科,0.8-1.2万/月
运维工程师（云运维）,珠海市新德汇信息技术有限公司,珠海,3-4年经验,本科,5-9千/月
高级测试工程师,广州中软信息技术有限公司,广州-天河区,5-7年经验,本科,0.8-1.2万/月
前端开发工程师,江西畅行停车管理有限公司,南昌-红谷滩新区,2年经验,招1人,4.5-6千/月
软件测试实习生,南京市秦淮区巩向明软件开发工作室,南京-雨花台区,无工作经验,大专,3-4.5千/月
机器学习应用工程师,深圳怡丰自动化科技有限公司,深圳-龙岗区,2年经验,本科,0.6-2万/月
软件测试工程师,无锡华普微电子有限公司,无锡,2年经验,本科,6-8千/月
